"","x"
"1",1.04209403764433
"2",1.04209403764433
"3",1.04209403764433
"4",0.985844037644333
"5",1.02681264296841
"6",1.02415962305939
"7",1.02266508851065
"8",1.02104600941617
"9",1.01929200706383
"10",1.01739183784878
"11",1.00195296297657
"12",1.01198823164351
"13",1.00947941447677
"14",1.00676152921281
"15",1.00381715351018
"16",1.00062741316567
"17",0.991556589060963
"18",0.974710772866506
"19",0.977840117194296
"20",0.972485623823459
"21",0.977942785775854
"22",0.97642535992731
"23",0.980790825449498
"24",0.982782726459684
